Station information:,,,,,,,
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
"Auckland, North Shore Albany Ews",17/08/2021,0,-,-,-,24,D
"Auckland, Whenuapai Aws",17/08/2021,0,-,2.6,0,24,D
Leigh 2 Ews,17/08/2021,1.2,-,11.9,0,24,D
Pukekohe Ews,17/08/2021,0,-,1.3,0,24,D
Reefton Ews,17/08/2021,31,-,0,29.6,24,D
Warkworth Ews,17/08/2021,0,-,9.5,0,24,D
Auckland Aero,18/08/2021,12.4,-,0,2.8,24,D
"Auckland, Henderson North",18/08/2021,17.7,-,0,14.9,24,D
"Auckland, Mangere 2 Ews",18/08/2021,10.2,-,0,2.3,24,D
"Auckland, Motat Ews",18/08/2021,13.6,-,0,4.9,24,D
"Auckland, North Shore Albany Ews",18/08/2021,14.6,-,-,-,24,D
"Auckland, Whenuapai Aws",18/08/2021,15.2,-,0,11.2,24,D
Leigh 2 Ews,18/08/2021,9.8,-,4.2,0,24,D
Pukekohe Ews,18/08/2021,17,-,0,14.5,24,D
Reefton Ews,18/08/2021,18,-,0,17.3,24,D
Warkworth Ews,18/08/2021,9,-,2.6,0,24,D
Auckland Aero,19/08/2021,2.2,-,0,0.5,24,D
"Auckland, Henderson North",19/08/2021,4.1,-,0,2.7,24,D
"Auckland, Mangere 2 Ews",19/08/2021,7,-,0,5.5,24,D
"Auckland, Motat Ews",19/08/2021,6.8,-,0,5.4,24,D
"Auckland, North Shore Albany Ews",19/08/2021,3.2,-,-,-,24,D
"Auckland, Whenuapai Aws",19/08/2021,3.5,-,0,2.1,24,D
Leigh 2 Ews,19/08/2021,1.6,-,4.7,0,24,D
Pukekohe Ews,19/08/2021,2.8,-,0,1.5,24,D
Reefton Ews,19/08/2021,0.4,-,0.3,0,24,D
Warkworth Ews,19/08/2021,0.8,-,3.9,0,24,D
Auckland Aero,20/08/2021,2,-,0,0.3,24,D
"Auckland, Henderson North",20/08/2021,0.7,-,0.7,0,24,D
"Auckland, Mangere 2 Ews",20/08/2021,0.6,-,0.9,0,24,D
"Auckland, Motat Ews",20/08/2021,0.6,-,0.8,0,24,D
"Auckland, North Shore Albany Ews",20/08/2021,0.2,-,-,-,24,D
"Auckland, Whenuapai Aws",20/08/2021,0.3,-,1.1,0,24,D
Leigh 2 Ews,20/08/2021,0,-,6.7,0,24,D
Pukekohe Ews,20/08/2021,1.4,-,0,0.1,24,D
Reefton Ews,20/08/2021,5.2,-,0,4.2,24,D
Warkworth Ews,20/08/2021,0.8,-,5.1,0,24,D
Auckland Aero,21/08/2021,0.4,-,1.3,0,24,D
"Auckland, Henderson North",21/08/2021,0.2,-,1.9,0,24,D
"Auckland, Mangere 2 Ews",21/08/2021,0.8,-,1.7,0,24,D
"Auckland, Motat Ews",21/08/2021,0.6,-,1.6,0,24,D
"Auckland, North Shore Albany Ews",21/08/2021,0.4,-,-,-,24,D
"Auckland, Whenuapai Aws",21/08/2021,0.5,-,1.9,0,24,D
Leigh 2 Ews,21/08/2021,0,-,8.8,0,24,D
Pukekohe Ews,21/08/2021,0,-,1.3,0,24,D
