Station information:,,,,,,,
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Diamond Harbour Ews,9/8/2021,7.2,-,0,6,24,D
Hanmer Forest Ews,9/8/2021,3.4,-,0,2.5,24,D
Le Bons Bay Aws,9/8/2021,1.6,-,8.1,0,24,D
"Lincoln, Broadfield Ews",9/8/2021,7,-,0,5.7,24,D
"Lismore, Racemans House Cws",9/8/2021,7.2,-,0,4.7,24,D
Medbury Cws,9/8/2021,17.2,-,0,13.6,24,D
Methven Cws,9/8/2021,5.8,-,-,-,24,D
Ohoka Cws,9/8/2021,12.8,-,0,11.9,24,D
Rangiora Ews,9/8/2021,11.2,-,0,10,24,D
Waipara West Ews,9/8/2021,24.4,-,0,22.7,24,D
Wakanui 2 Cws,9/8/2021,9.6,-,0,6.9,24,D
Winchmore 2 Ews,9/8/2021,14.2,-,0,13,24,D
Akaroa Ews,10/8/2021,1.6,-,0,0.4,24,D
Ashburton Aero Aws,10/8/2021,0,-,1.2,0,24,D
Balmoral East Cws,10/8/2021,1,-,0.7,0,24,D
Bromley Ews,10/8/2021,8.6,-,0,7.5,24,D
Chertsey Cws,10/8/2021,0,-,1.2,0,24,D
Cheviot Ews,10/8/2021,5,-,0,4,24,D
Christchurch Aero,10/8/2021,12.2,-,0,11.3,24,D
"Christchurch, Kyle St Ews",10/8/2021,5.4,-,0,4.4,24,D
Culverden Aws,10/8/2021,16.6,-,0,14.9,24,D
Cass Ews,10/8/2021,6.8,-,-,-,24,D
Diamond Harbour Ews,10/8/2021,10.2,-,0,9,24,D
Hanmer Forest Ews,10/8/2021,5.8,-,0,5,24,D
Le Bons Bay Aws,10/8/2021,0.6,-,8.7,0,24,D
"Lincoln, Broadfield Ews",10/8/2021,9.8,-,0,8.5,24,D
"Lismore, Racemans House Cws",10/8/2021,0,-,1.2,0,24,D
Medbury Cws,10/8/2021,1.8,-,0,0.1,24,D
Methven Cws,10/8/2021,11.4,-,6.1,0,24,D
Ohoka Cws,10/8/2021,4,-,0,3.1,24,D
Rangiora Ews,10/8/2021,5.2,-,0,4.3,24,D
Waipara West Ews,10/8/2021,1.4,-,0.3,0,24,D
Wakanui 2 Cws,10/8/2021,0,-,1.2,0,24,D
Winchmore 2 Ews,10/8/2021,0,-,1.2,0,24,D
Akaroa Ews,11/8/2021,0.8,-,0.4,0,24,D
Ashburton Aero Aws,11/8/2021,0,-,2.4,0,24,D
Balmoral East Cws,11/8/2021,0,-,2.3,0,24,D
Bromley Ews,11/8/2021,0,-,1.1,0,24,D
Chertsey Cws,11/8/2021,0,-,2.4,0,24,D
Cheviot Ews,11/8/2021,0,-,1,0,24,D
Christchurch Aero,11/8/2021,0,-,0.9,0,24,D
"Christchurch, Kyle St Ews",11/8/2021,0,-,1,0,24,D
Culverden Aws,11/8/2021,1.6,-,0.1,0,24,D
Cass Ews,11/8/2021,4.2,-,-,-,24,D
Diamond Harbour Ews,11/8/2021,0,-,1.2,0,24,D
Hanmer Forest Ews,11/8/2021,23.8,-,0,23,24,D
Le Bons Bay Aws,11/8/2021,0.4,-,9.4,0,24,D
"Lincoln, Broadfield Ews",11/8/2021,0,-,1.3,0,24,D
"Lismore, Racemans House Cws",11/8/2021,0,-,2.4,0,24,D
Medbury Cws,11/8/2021,0,-,1.7,0,24,D
Methven Cws,11/8/2021,0.6,-,6.7,0,24,D
