Station information:,,,,,,,
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Paraparaumu Aero Aws,3/8/2021,0.2,-,4,0,24,D
Paraparaumu Ews,3/8/2021,0,-,4.6,0,24,D
"Porirua, Elsdon Park Aws",3/8/2021,1,-,2.8,0,24,D
Stephens Island Aws,3/8/2021,5,-,-,-,24,D
"Upper Hutt, Trentham Ews",3/8/2021,0.2,-,4.1,0,24,D
Wellington Aero,3/8/2021,0.1,-,5.7,0,24,D
"Wellington, Greta Point Cws",3/8/2021,0.6,-,5.2,0,24,D
"Wellington, Kelburn 2",3/8/2021,1.4,-,4.4,0,24,D
"Wellington, Kelburn Aws",3/8/2021,1.4,-,3.8,0,24,D
Baring Head,4/8/2021,0.4,-,5.9,0,24,D
Blenheim Aero Aws,4/8/2021,0,-,5.8,0,24,D
Blenheim Research Ews,4/8/2021,0,-,6,0,24,D
Brothers Island Aws,4/8/2021,0,-,1,0,24,D
Cape Campbell Aws,4/8/2021,0,-,4.8,0,24,D
Levin Aws,4/8/2021,0,-,4.7,0,24,D
Levin Ews,4/8/2021,0,-,4.5,0,24,D
Mana Island Aws,4/8/2021,2.4,-,1.1,0,24,D
Martinborough Ews,4/8/2021,17.4,-,0,11.3,24,D
Masterton Aero Aws,4/8/2021,6.2,-,0,1.5,24,D
Masterton Ews,4/8/2021,5.8,-,0,0.4,24,D
"Masterton, Te Ore Ore Cws",4/8/2021,7.2,-,0,2,24,D
"Masterton, Te Ore Ore Srig",4/8/2021,7,-,0,2,24,D
Maungaraki 3,4/8/2021,3.6,-,1.6,0,24,D
Ngawi Aws,4/8/2021,9.4,-,0,8.2,24,D
Paraparaumu Aero,4/8/2021,2.1,0,3.4,0,24,D
Paraparaumu Aero Aws,4/8/2021,2.6,-,2.7,0,24,D
Paraparaumu Ews,4/8/2021,2.4,-,3.5,0,24,D
"Porirua, Elsdon Park Aws",4/8/2021,4.8,-,0,0.9,24,D
Stephens Island Aws,4/8/2021,0.4,-,-,-,24,D
"Upper Hutt, Trentham Ews",4/8/2021,12.8,-,0,7.8,24,D
Wellington Aero,4/8/2021,1,-,6,0,24,D
"Wellington, Greta Point Cws",4/8/2021,1.8,-,4.7,0,24,D
"Wellington, Kelburn 2",4/8/2021,1.2,-,4.5,0,24,D
"Wellington, Kelburn Aws",4/8/2021,1.4,-,3.7,0,24,D
Baring Head,5/8/2021,0.4,-,6.8,0,24,D
Blenheim Aero Aws,5/8/2021,0.4,-,6.6,0,24,D
Blenheim Research Ews,5/8/2021,0,-,7.2,0,24,D
Brothers Island Aws,5/8/2021,1.4,-,0.7,0,24,D
Cape Campbell Aws,5/8/2021,0,-,6,0,24,D
Levin Aws,5/8/2021,1.8,-,3.9,0,24,D
Levin Ews,5/8/2021,1.8,-,3.7,0,24,D
Mana Island Aws,5/8/2021,3.6,-,0,1.5,24,D
Martinborough Ews,5/8/2021,1.2,-,0,0,24,D
Masterton Aero Aws,5/8/2021,0.2,-,0.8,0,24,D
Masterton Ews,5/8/2021,0.2,-,0.7,0,24,D
"Masterton, Te Ore Ore Cws",5/8/2021,0,-,0.9,0,24,D
"Masterton, Te Ore Ore Srig",5/8/2021,0.2,-,0.7,0,24,D
Maungaraki 3,5/8/2021,2.8,-,0,0.2,24,D
Ngawi Aws,5/8/2021,0.4,-,0.8,0,24,D
Paraparaumu Aero,5/8/2021,3.1,1,1.5,0,24,D
Paraparaumu Aero Aws,5/8/2021,3.2,-,0.7,0,24,D
Paraparaumu Ews,5/8/2021,2.8,-,1.9,0,24,D
"Porirua, Elsdon Park Aws",5/8/2021,3.6,-,0,2.6,24,D
Stephens Island Aws,5/8/2021,5.2,-,-,-,24,D
"Upper Hutt, Trentham Ews",5/8/2021,1.6,-,0,0.6,24,D
Wellington Aero,5/8/2021,1.7,-,5.6,0,24,D
"Wellington, Greta Point Cws",5/8/2021,1,-,5,0,24,D
"Wellington, Kelburn 2",5/8/2021,2,-,3.8,0,24,D
"Wellington, Kelburn Aws",5/8/2021,2.2,-,2.8,0,24,D
Baring Head,6/8/2021,3.4,-,4.7,0,24,D
Blenheim Aero Aws,6/8/2021,24.6,-,0,16.8,24,D
Blenheim Research Ews,6/8/2021,17.4,-,0,9,24,D
Brothers Island Aws,6/8/2021,16,-,0,14.3,24,D
Cape Campbell Aws,6/8/2021,15.2,-,0,8,24,D
Levin Aws,6/8/2021,11.6,-,0,6.6,24,D
Levin Ews,6/8/2021,10.6,-,0,5.9,24,D
Mana Island Aws,6/8/2021,6.6,-,0,5.6,24,D
Martinborough Ews,6/8/2021,5.4,-,0,4.2,24,D
Masterton Aero Aws,6/8/2021,2.6,-,0,0.8,24,D
Masterton Ews,6/8/2021,3,-,0,1.4,24,D
"Masterton, Te Ore Ore Cws",6/8/2021,4,-,0,2.2,24,D
"Masterton, Te Ore Ore Srig",6/8/2021,4.2,-,0,2.6,24,D
Maungaraki 3,6/8/2021,2.6,-,0,1.5,24,D
Ngawi Aws,6/8/2021,3.6,-,0,1.6,24,D
Paraparaumu Aero,6/8/2021,9.2,1,0,6.5,24,D
Paraparaumu Aero Aws,6/8/2021,8.8,-,0,6.9,24,D
Paraparaumu Ews,6/8/2021,7.8,-,0,4.7,24,D
"Porirua, Elsdon Park Aws",6/8/2021,4.8,-,0,3.8,24,D
Stephens Island Aws,6/8/2021,7.4,-,-,-,24,D
"Upper Hutt, Trentham Ews",6/8/2021,3.8,-,0,2.8,24,D
Wellington Aero,6/8/2021,1.6,-,5.3,0,24,D
