SampleLocation,sars_gcl,Date,Result,copies_per_day_per_person,avg_rain,avg_rain.lag1,avg_rain.lag2,avg_rain.lag3,avg_rain.lag4,avg_rain.lag5,avg_rain.lag6,avg_rain.lag7,population,sars_per_person,SAMPLELOCATION,daily_flow_rate_m3
AU_Eastern,7545.68,2022-11-21,Detected,2085581,18.933333333333334,5.8,13.733333333333334,22.666666666666668,0.19999999999999998,0.19999999999999998,0,0.4,18391,0.41029199064759936,NA,NA
AU_Eastern,30804.96,2022-11-28,Detected,8514309,12.6,0,0.3333333333333333,5.333333333333333,15.8,12.733333333333334,1.4000000000000001,18.933333333333334,18391,1.6750019031047794,NA,NA
AU_Eastern,32373.08,2022-11-30,Detected,8947728,5.933333333333334,0.06666666666666667,12.6,0,0.3333333333333333,5.333333333333333,15.8,12.733333333333334,18391,1.7602675221575772,NA,NA
AU_Eastern,28083.15,2022-12-05,Detected,7762017,0,0.4,0,0.2,5.800000000000001,5.933333333333334,0.06666666666666667,12.6,18391,1.5270050568212714,NA,NA
AU_Eastern,76932.16,2022-12-07,Detected,21263596,11.7,0,0,0.4,0,0.2,5.800000000000001,5.933333333333334,18391,4.1831417541188625,NA,NA
AU_Eastern,38653.3,2022-12-12,Detected,10683544,12.200000000000001,25.666666666666668,1.2,0.4666666666666667,0.06666666666666667,11.7,0,0,18391,2.101750856397151,NA,NA
AU_Eastern,80978.8,2022-12-14,Detected,22382063,0.06666666666666667,0,12.200000000000001,25.666666666666668,1.2,0.4666666666666667,0.06666666666666667,11.7,18391,4.403175466260671,NA,NA
AU_Eastern,35100.75,2022-12-21,Detected,9701640,0.13333333333333333,0.9333333333333333,0,13.6,0.26666666666666666,1.6666666666666667,14.066666666666666,0.06666666666666667,18391,1.9085830025555979,NA,NA
AU_Rosedale,500,2021-12-29,Detected,119091,1.25,0,0,0,0,0,0,0,31051,0.016102540980966796,NA,NA
AU_Rosedale,500,2022-01-05,Detected,119091,0,0,0,0,0,0,0,1.25,31051,0.016102540980966796,AU_Rosedale,45030
AU_Rosedale,500,2022-01-10,Detected,119091,0,0,0,0.1,0,0,0,0,31051,0.016102540980966796,AU_Rosedale,45363
AU_Rosedale,500,2022-01-17,Detected,119091,0,0,0,0,0,0,0,0,31051,0.016102540980966796,AU_Rosedale,46544
AU_Rosedale,500,2022-01-24,Detected,119091,1.15,0,0,0,0,0,0,0,31051,0.016102540980966796,AU_Rosedale,45860
AU_Rosedale,0,2022-01-26,Not detected,0,0.30000000000000004,3.05,1.15,0,0,0,0,0,31051,0,AU_Rosedale,45955
AU_Rosedale,500,2022-02-02,Detected,119091,0,0.8500000000000001,0,0,0,0,0.05,0.30000000000000004,31051,0.016102540980966796,AU_Rosedale,45474
AU_Rosedale,921.75,2022-02-04,Detected,219544,0,0,0,0.8500000000000001,0,0,0,0,31051,0.02968503429841229,AU_Rosedale,47396
AU_Rosedale,2020.2,2022-02-09,Detected,481176,0.35,2.5,47.1,7.75,0,0,0,0,31051,0.06506070657949825,AU_Rosedale,52944
AU_Rosedale,500,2022-02-14,Detected,119091,1.25,0.25,2.25,0.6000000000000001,0.2,0.35,2.5,47.1,31051,0.016102540980966796,AU_Rosedale,48161
AU_Rosedale,3872.43,2022-02-16,Detected,922345,0,1.35,1.25,0.25,2.25,0.6000000000000001,0.2,0.35,31051,0.1247119255418505,AU_Rosedale,48564
AU_Rosedale,15580.24,2022-02-21,Detected,3710943,0,0,2.5500000000000003,0,0,0,1.35,1.25,31051,0.5017629061865962,AU_Rosedale,50269
AU_Rosedale,31013.64,2022-02-23,Detected,7386911,0,1.75,0,0,2.5500000000000003,0,0,0,31051,0.9987968181379021,AU_Rosedale,48541
AU_Rosedale,40922.11,2022-02-28,Detected,9746937,0.1,0,0,2.8,2.05,0,1.75,0,31051,1.3178999066052624,AU_Rosedale,49283
AU_Rosedale,74905.68,2022-03-07,Detected,17841234,1.3,0,0.1,0.85,0,0,0,0.1,31051,2.4123435638143698,AU_Rosedale,48080
AU_Rosedale,87862.87,2022-03-09,Detected,20927412,0.4,0,1.3,0,0.1,0.85,0,0,31051,2.8296309297607163,AU_Rosedale,47003
AU_Rosedale,138460.89,2022-03-10,Detected,32978983,0,0.4,0,1.3,0,0.1,0.85,0,31051,4.459144310972272,AU_Rosedale,47353
AU_Rosedale,80512.94,2022-03-11,Detected,19176786,0,0,0.4,0,1.3,0,0.1,0.85,31051,2.592925831696242,AU_Rosedale,46565
AU_Rosedale,15148.26,2022-03-14,Detected,3608052,0,0,0,0,0,0.4,0,1.3,31051,0.4878509548806802,AU_Rosedale,47361
AU_Rosedale,11523.14,2022-03-16,Detected,2744612,0,0,0,0,0,0,0,0.4,31051,0.37110366815883544,AU_Rosedale,45984
AU_Rosedale,17037.53,2022-03-21,Detected,4058044,97.75,0.30000000000000004,5.85,0,0,0,0,0,31051,0.5486950500789024,AU_Rosedale,54008
AU_Rosedale,38528.8,2022-03-22,Detected,9176892,10.5,97.75,0.30000000000000004,5.85,0,0,0,0,31051,1.240823161894947,AU_Rosedale,146489
AU_Rosedale,31944,2022-03-27,Detected,7608506,0,0,0.45,1.8499999999999999,7,10.5,97.75,0.30000000000000004,31051,1.0287591381920067,AU_Rosedale,52019
AU_Rosedale,35272,2022-03-29,Detected,8401178,0,0,0,0,0.45,1.8499999999999999,7,10.5,31051,1.1359376509613217,AU_Rosedale,50588
AU_Rosedale,24383.97,2022-04-04,Detected,5807838,0.05,0,0,0.1,0,0,0,0,31051,0.78528775240733,AU_Rosedale,50788
AU_Rosedale,29417.87,2022-04-05,Detected,7006826,0.05,0.05,0,0,0.1,0,0,0,31051,0.9474049144955073,AU_Rosedale,49301
